method,fold,extras,training,testing
Praxi,0,0,937.745364,437.190676
Praxi,0,1,1109.429327,459.263864
Praxi,0,2,1333.415390,477.548900
Praxi,0,3,1614.304561,504.274685
Praxi,1,0,957.204941,448.587733
Praxi,1,1,1126.052441,469.550764
Praxi,1,2,1350.126846,485.955760
Praxi,1,3,1595.388202,508.176224
Praxi,2,0,928.216132,471.621701
Praxi,2,1,1100.732658,489.932074
Praxi,2,2,1314.506593,511.931318
Praxi,2,3,1559.814481,531.799288
